Wavelength,S1c / R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nm,CPS / MicroAmps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,450 nm,485 nm,500 nm,550 nm  + 550 filter,550 nm + 495 filter,530 nm,560 nm,600 nm,400 nm,625 nm + 495 filter,625 + 665 filter,625 nm no filter,650 nm,690 nm,700 nm,710 nm,720 nm,730 nm,740 nm,750 nm,760 nm,770 nm,790 nm,800 nm,808 nm,808 nm laser,980 laser,,,,
550,1305.37308404918,788.011796173102,547.252747252747,,,,,,1167.21659203394,,,,,,,,,,,,,,,,,,1506.17701810797,,,,
551,1226.42568477773,835.618316424459,590.992310508971,,,,,,1851.78634594977,,,,,,,,,,,,,,,,,,-524.31289640592,,,,
552,1063.77006848546,931.84311574328,657.383657017223,,,,,,1716.29031307116,,,,,,,,,,,,,,,,,,1507.19729043184,,,,
553,917.714414009879,1115.90628853268,613.096982127161,,,,,,1404.22269403161,,,,,,,,,,,,,,,,,,-863.017175733988,,,,
554,1114.85537770289,855.948464912281,921.216562843533,,,,,,1538.96027348815,,,,,,,,,,,,,,,,,,-1031.45079472438,,,,
555,979.511647488072,828.536184210526,679.86798679868,,,,,,1408.12720848057,,,,,,,,,,,,,,,,,,-779.066813447371,,,,
556,967.95914931822,973.184280913518,459.441635524291,,,,,,1751.25257883879,,,,,,,,,,,,,,,,,,-3145.34539612751,,,,
557,799.08035664218,725.690399506613,862.397420867527,,,,,,1525.82297862317,,,,,,,,,,,,,,,,,,829.033076727857,,,,
558,1007.0126227209,821.570508428121,401.232303968312,,,,,,1679.62766584188,,,,,,,,,,,,,,,,,,-1369.39983093829,,,,
559,1063.11360448808,732.944806307851,540.838042122257,,,,,,1515.38370859366,,,,,,,,,,,,,,,,,,-778.868946833729,,,,
560,873.350182532996,814.216256933507,467.282863849765,,,,,,1634.22977117245,,,,,,,,,,,,,,,,,,321.788466423914,,,,
561,844.225051887586,725.740131578947,701.150267418859,,,,,,1498.76135425268,,,,,,,,,,,,,,,,,,-355.119641498267,,,,
562,1019.03318174162,718.247175624786,861.955327718784,,,,,,1608.74175306315,,,,,,,,,,,,,,,,,,490.942949043508,,,,
563,922.602355580482,1239.38065223349,539.847641371228,,,,,,1646.31628620303,,,,,,,,,,,,,,,,,,-2556.28914846792,,,,
564,1311.65037636221,897.251353759682,459.677419354839,,,,,,1279.91982077585,,,,,,,,,,,,,,,,,,-610.014403117851,,,,
565,878.423888639425,1144.56178850638,715.855803048066,,,,,,1410.70269632427,,,,,,,,,,,,,,,,,,-1370.44243295829,,,,
566,1228.56339612033,760.944147111294,511.109481557527,,,,,,1585.36585365854,,,,,,,,,,,,,,,,,,236.826524570752,,,,
567,778.483502894722,1068.39364035088,680.117388114454,,,,,,1319.78798586572,,,,,,,,,,,,,,,,,,-1200.64259744652,,,,
568,1054.25920719708,1110.04456633528,796.103705873737,,,,,,1343.18690378047,,,,,,,,,,,,,,,,,,-270.63599458728,,,,
569,1081.15697837686,1781.35709389993,781.455983594551,,,,,,1638.38812301167,,,,,,,,,,,,,,,,,,-16.9333672000677,,,,
570,795.882783058665,1746.60819514869,554.863299860735,1127.9354429232,1294.0324187268,1105.33055866816,52568.055420041,,1652.40988732228,,,,,,,,,,,,,,,,,,1337.05678260134,,,,
571,946.682397887522,1962.38588784405,854.506846305924,1008.87520376743,1139.46963526111,1022.8361545832,11971.6520039101,,1498.67295782955,,,,,,,,,,,,,,,,,,-3826.61699966136,,,,
572,1007.69101218211,2431.32150441872,751.665080875357,998.914223669924,814.016660630206,1009.12291933419,2280.22246072788,,1663.32547169811,,,,,,,,,,,,,,,,,,913.24200913242,,,,
573,878.867860953558,2973.95476353667,942.926221701224,1062.34729888698,1059.06867186084,952.723782097432,1326.62039300029,,1629.29304850702,,,,,,,,,,,,,,,,,,67.7162688335873,,,,
574,823.218700831648,3217.81498764754,861.702906508529,982.239942007974,995.020371208692,921.906287545054,1168.14677466576,,1610.54431798078,,,,,,,,,,,,,,,,,,913.24200913242,,,,
575,1220.53872053872,3257.20164609054,466.256770604597,872.635104553272,750.769788081869,520.175789053136,1266.47788301924,,1598.74977885239,,,,,,,,,,,,,,,,,,1844.01962442903,,,,
576,973.953070618615,3833.35615500479,855.070339976553,682.723650851141,895.752196359025,1017.28829838322,1189.17334375611,,1285.05774216356,,,,,,,,,,,,,,,,,,-2726.50296359018,,,,
577,1063.77006848546,4025.92948278228,679.668597404502,728.326841199384,451.992753623188,1049.38765708797,1159.51939044642,,1539.5954950174,,,,,,,,,,,,,,,,,,-186.077983591305,,,,
578,1204.51482479784,4273.87313330593,584.396539081977,783.10522976525,751.31411999275,625.650885203877,661.391168425166,,1348.83720930233,,,,,,,,,,,,,,,,,,-524.490313848236,,,,
579,1205.73355817875,4406.44276901988,576.345660930062,720.246734397678,597.840878163839,832.8,739.041296495167,,1533.78936195306,,,,,,,,,,,,,,,,,,-4837.20930232558,,,,
580,1087.07865168539,4868.66470063782,877.180126044262,837.032339885859,885.89267939553,801.697901649848,974.203634942349,,1697.70182675309,,,,,,,,,,,,,,,,,,-2551.53768164921,,,,
581,1284.7905538375,4994.51077260876,957.860021986076,646.563433849498,904.072398190045,985.1152368758,720.14852452609,,1726.65684830633,,,,,,,,,,,,,,,,,,744.37489426493,,,,
582,1041.49121329515,5425.67057693627,555.229573126009,447.66651563208,614.368440101339,632.648164440534,895.857756936304,,1745.25521631498,,,,,,,,,,,,,,,,,,152.439024390244,,,,
